location,building_type,floor_count,orientation,facade_area_sqm,budget_level,max_cost_per_sqm,required_u_value,required_shgc,required_vlt,acoustic_requirement,fire_rating_requirement,aesthetic_preference,thermal_insulation_required,wind_load_level,climate_zone,avg_temp_c,avg_humidity_pct,avg_rainfall_mm,solar_exposure,material_id,material_type,material_subtype,cost_per_sqm,installation_cost_per_sqm,material_u_value,material_shgc,material_vlt_percent,fire_rating,durability_years,maintenance_freq_per_year,acoustic_rating_rw,water_absorption_pct,material_density_kgm3,recommended_climates,surface_reflectivity_pct,material_lifespan_years,total_material_cost,total_installation_cost,total_cost_estimate,thermal_gap_u_value,thermal_gap_shgc,budget_fit_flag,aesthetic_match_flag,fire_safety_match_flag,climate_match_flag,suitability_score
Mumbai,Commercial,15,south,1200,medium,150,1.8,0.4,45,yes,A2,glass,required,high,coastal,28,75,2200,high,M1,glass,Low-E,120,40,1.2,0.35,50,A2,25,1,35,0.5,2500,"coastal,hot",25,30,144000,48000,192000,0.6,0.05,1,1,1,1,87
Delhi,Residential,8,north,800,low,80,2.2,0.5,60,no,B,stone,required,avg,hot,26,55,600,medium,M2,stone,granite,70,25,2,0.55,35,B,40,0.5,28,1.2,2600,"hot,moderate",15,50,56000,20000,76000,0.2,0.05,1,1,1,1,95
Chennai,Hospital,10,east,1500,high,250,1.5,0.3,40,yes,A1,metal,not required,high,hot,30,70,1200,high,M3,metal,aluminum,90,35,3.5,0.65,20,A1,20,2,32,0.8,2700,"hot,coastal",40,25,135000,52500,187500,2,0.35,1,1,1,1,53
Bangalore,Industrial,5,west,600,medium,120,2,0.45,55,no,C,composite,required,low,moderate,24,60,900,medium,M4,composite,ACP,110,30,1.8,0.4,45,C,15,1.5,30,2,1800,moderate,30,20,66000,18000,84000,0.2,0.05,1,1,1,1,95
Kolkata,Commercial,20,south,2000,high,200,1.6,0.35,50,yes,A2,glass,required,high,hot,27,80,1600,high,M5,glass,IGU,140,45,1.1,0.3,55,A2,28,1,38,0.3,2400,"hot,coastal",20,35,280000,90000,370000,0.5,0.05,1,1,1,1,89
Hyderabad,Residential,12,north,900,low,70,2.5,0.55,65,no,B,terracotta,not required,avg,hot,29,65,700,high,M6,terracotta,baguette,85,28,2.8,0.6,30,B,35,1,25,4,1900,hot,10,40,76500,25200,101700,0.3,0.05,0,1,1,1,73
Goa,Hospital,6,east,1100,medium,140,1.4,0.25,35,yes,A1,glass,required,high,coastal,26,85,3000,medium,M7,glass,laminated,130,38,1,0.25,40,A1,22,1.2,36,0.2,2600,coastal,30,32,143000,41800,184800,0.4,0,1,1,1,1,92
Pune,Industrial,4,west,500,low,60,2.3,0.5,50,no,C,metal,required,low,moderate,25,58,800,low,M8,metal,galvanized,65,22,2.5,0.5,60,C,30,0.8,29,1.5,7800,"moderate,hot",35,45,32500,11000,43500,0.2,0,0,1,1,1,76
Ahmedabad,Commercial,18,south,1600,high,220,1.7,0.4,48,yes,A2,composite,not required,high,hot,31,50,500,high,M9,composite,HPL,95,32,1.9,0.45,42,A2,18,1.8,34,1.8,1400,hot,28,22,152000,51200,203200,0.2,0.05,1,1,1,1,95
Jaipur,Residential,7,north,700,medium,100,2.1,0.48,58,no,B,stone,required,avg,hot,28,45,400,high,M10,stone,sandstone,75,26,1.95,0.5,38,B,45,0.4,27,3,2200,"hot,cold",12,55,52500,18200,70700,0.15,0.02,1,1,1,1,97
Kochi,Hospital,9,east,1300,high,260,1.3,0.28,38,yes,A1,glass,required,high,coastal,29,82,3200,high,M11,glass,reflective,155,42,0.9,0.28,32,A1,24,1.5,37,0.1,2500,coastal,45,28,201500,54600,256100,0.4,0,1,1,1,1,92
Lucknow,Industrial,3,west,400,low,55,2.4,0.52,62,no,C,terracotta,not required,low,moderate,27,62,1000,medium,M12,terracotta,GFRC,105,29,2.7,0.52,28,C,32,1.2,26,2.5,2000,moderate,18,38,42000,11600,53600,0.3,0,0,1,1,1,74
Bhopal,Commercial,14,south,1400,medium,130,1.9,0.42,52,yes,A2,metal,required,avg,hot,26,68,1100,medium,M13,metal,louvers,80,27,3.2,0.42,25,A2,26,2.5,31,0.6,2800,"hot,moderate",32,30,112000,37800,149800,1.3,0,1,1,1,1,74
Indore,Residential,11,north,850,low,75,2.6,0.58,68,no,B,composite,required,low,moderate,25,59,950,low,M14,composite,ACP,60,20,2.1,0.58,52,B,16,1,33,1.9,1600,moderate,25,18,51000,17000,68000,0.5,0,1,1,1,1,90
Vizag,Hospital,16,east,1700,high,240,1.2,0.22,32,yes,A1,glass,not required,high,coastal,28,78,2500,high,M15,glass,DG,165,48,0.8,0.22,36,A1,27,1,39,0.05,2300,"coastal,hot",38,34,280500,81600,362100,0.4,0,1,1,1,1,92
Surat,Industrial,2,west,350,medium,110,2.2,0.46,54,no,C,stone,required,avg,hot,30,72,1300,high,M16,stone,marble,125,35,1.7,0.46,44,C,38,0.6,24,0.4,2700,hot,20,52,43750,12250,56000,0.5,0,0,1,1,1,70
Nagpur,Commercial,13,south,950,high,180,1.8,0.38,46,yes,A2,glass,required,high,hot,29,66,1200,medium,M17,glass,Low-E,135,41,1.3,0.38,48,A2,23,1.2,34,0.4,2450,hot,22,31,128250,38950,167200,0.5,0,1,1,1,1,90
Patna,Residential,10,north,750,low,65,2.8,0.6,70,no,B,metal,not required,low,moderate,27,70,1400,low,M18,metal,stainless,50,18,2.9,0.6,65,B,50,0.3,30,0.2,8000,"moderate,cold",50,60,37500,13500,51000,0.1,0,1,1,1,1,98
Trivandrum,Hospital,8,east,1000,medium,160,1.5,0.3,42,yes,A1,composite,required,high,coastal,28,84,2800,high,M19,composite,HPL,115,33,2,0.3,40,A1,20,1.6,35,2.2,1500,coastal,26,24,115000,33000,148000,0.5,0,1,1,1,1,90
Raipur,Industrial,6,west,550,low,85,2.5,0.55,64,no,C,terracotta,required,avg,hot,31,67,1500,medium,M20,terracotta,panel,95,31,2.6,0.55,34,C,34,1,28,3.5,2100,hot,14,42,52250,17050,69300,0.1,0,0,1,1,1,78
Agra,Commercial,17,south,1800,high,210,1.6,0.35,49,yes,A2,glass,not required,high,hot,27,52,650,high,M21,glass,IGU,145,46,1.15,0.35,51,A2,26,0.9,36,0.25,2550,"hot,moderate",24,33,261000,82800,343800,0.45,0,1,1,1,1,91
Varanasi,Residential,5,north,650,medium,95,2.3,0.5,59,no,B,stone,required,low,moderate,26,71,1050,medium,M22,stone,limestone,82,28,2.15,0.5,41,B,42,0.5,26,2.8,2300,moderate,16,48,53300,18200,71500,0.15,0,1,1,1,1,97
Mangalore,Hospital,11,east,1200,high,230,1.4,0.26,37,yes,A1,metal,required,high,coastal,29,81,3400,high,M23,metal,ACP,105,36,3,0.26,22,A1,22,2,33,0.7,2900,coastal,36,26,126000,43200,169200,1.6,0,1,1,1,1,68
Jodhpur,Industrial,4,west,450,low,50,2.7,0.62,72,no,C,composite,not required,avg,hot,32,48,300,high,M24,composite,GFRC,45,15,2.4,0.62,58,C,28,0.7,32,1.6,1700,hot,30,20,20250,6750,27000,0.3,0,1,1,1,1,94
Amritsar,Commercial,19,south,1900,medium,170,1.7,0.4,47,yes,A2,louvers,required,high,cold,24,60,700,low,M25,louvers,aluminum,88,30,3.8,0.4,15,A2,18,3,29,0.9,2750,"cold,moderate",42,28,167200,57000,224200,2.1,0,1,1,1,1,58
Kanpur,Commercial,16,south,1350,medium,140,1.9,0.42,50,yes,A2,glass,required,high,hot,27,65,950,medium,M26,glass,tinted,110,35,1.4,0.32,42,A2,24,1,34,0.4,2400,hot,28,32,148500,47250,195750,0.5,0.1,1,1,1,1,88
Mysore,Residential,9,north,750,low,75,2.4,0.55,62,no,B,stone,required,avg,moderate,23,62,1100,medium,M27,stone,quartz,92,29,1.85,0.48,36,B,38,0.6,27,1.1,2550,"hot,coastal",18,48,69000,21750,90750,0.55,0.07,0,1,1,0,58
Guwahati,Hospital,12,east,1250,high,230,1.4,0.28,38,yes,A1,metal,required,high,hot,25,82,2000,high,M28,metal,zinc,78,26,2.9,0.55,28,A1,22,1.8,31,0.3,7100,moderate,38,35,97500,32500,130000,1.5,0.27,1,1,1,0,55
Coimbatore,Industrial,7,west,650,medium,115,2.1,0.48,55,no,C,composite,not required,avg,hot,28,68,1400,high,M29,composite,fiber,68,24,2.2,0.42,50,C,20,1.2,30,2.1,1650,moderate,22,25,44200,15600,59800,0.1,0.06,1,1,1,0,87
Madurai,Commercial,19,south,1850,high,210,1.6,0.35,48,yes,A2,louvers,required,high,hot,30,70,900,high,M25,louvers,aluminum,88,30,3.8,0.4,15,A2,18,3,29,0.9,2750,"cold,moderate",42,28,162800,55500,218300,2.2,0.05,1,1,1,0,45
Salem,Residential,6,north,550,low,65,2.7,0.6,68,no,B,terracotta,required,low,hot,29,66,750,medium,M30,terracotta,cladding,102,32,2.75,0.58,32,B,36,0.9,26,3.2,1950,hot,15,44,56100,17600,73700,0.05,0.02,0,1,1,1,79
Tirupati,Hospital,14,east,1450,medium,155,1.5,0.3,42,yes,A1,glass,not required,high,hot,28,72,600,high,M1,glass,Low-E,120,40,1.2,0.35,50,A2,25,1,35,0.5,2500,"coastal,hot",25,30,174000,58000,232000,0.3,0.05,1,1,0,1,73
Vadodara,Industrial,5,west,450,low,70,2.3,0.52,58,no,C,metal,required,avg,hot,29,58,800,high,M3,metal,aluminum,90,35,3.5,0.65,20,A1,20,2,32,0.8,2700,"hot,coastal",40,25,40500,15750,56250,1.2,0.13,0,1,0,1,33
Varanasi,Commercial,17,south,1650,high,240,1.7,0.4,45,yes,A2,composite,required,high,hot,27,69,1200,medium,M4,composite,ACP,110,30,1.8,0.4,45,C,15,1.5,30,2,1800,moderate,30,20,181500,49500,231000,0.1,0,1,1,0,0,68
