glass_type,recommended_climate,u_value,shgc,vlt,acoustic_rw,thickness_mm,fire_rating,durability_years,cost_per_sqm,maintenance_freq_per_year,solar_control_coating,impact_resistance,environmental_suitability
Acoustic Laminated,hot,2.05,0.54,74.6,38,10,A2,19,274,3,No,High,High
IGU Low-E,dry,1.48,0.22,44.7,31,20,A1,15,301,1,Yes,Low,Medium
Laminated Low-E,moderate,1.05,0.33,58.0,35,14,A2,35,304,3,Yes,High,Medium
Solar Control Glass,coastal,4.27,0.46,89.1,25,6,A2,28,137,2,No,Low,High
Tempered Low-E,moderate,1.67,0.23,45.5,30,6,A1,17,345,2,Yes,Medium,Medium
IGU Low-E,cold,1.15,0.25,55.7,29,24,A1,29,304,3,Yes,Low,Medium
IGU Low-E,coastal,1.35,0.24,58.4,29,20,B,33,291,1,Yes,Low,High
Laminated Clear,hot,1.77,0.37,67.3,39,10,A1,22,264,1,Yes,High,High
Tinted Glass,cold,3.44,0.51,19.0,30,6,A2,26,181,2,No,Low,Medium
Laminated Low-E,cold,1.41,0.29,41.4,45,14,A1,34,324,3,Yes,High,Medium
DGU Clear,dry,1.29,0.28,37.0,31,22,B,35,241,3,No,Low,Medium
Solar Control Glass,moderate,4.87,0.69,84.3,28,10,A1,25,121,2,Yes,Low,Medium
Tempered Low-E,hot,1.24,0.21,60.5,30,6,A2,35,295,2,Yes,Medium,High
Tinted Glass,coastal,3.42,0.37,24.9,27,5,A2,32,133,3,No,Low,High
Tempered Low-E,dry,1.03,0.34,47.8,31,8,B,22,299,1,Yes,Medium,Medium
Solar Control Glass,coastal,4.16,0.53,75.6,26,6,A2,35,176,1,Yes,Low,High
Frosted Glass,coastal,3.87,0.5,89.1,34,6,C,31,129,2,No,Low,High
Solar Control Glass,hot,4.44,0.68,86.8,35,10,B,35,172,2,Yes,Low,High
IGU Low-E,cold,1.48,0.34,42.7,32,26,A1,23,190,3,Yes,Low,Medium
Frosted Glass,moderate,2.99,0.46,69.8,35,6,A2,19,160,2,No,Low,Medium
Frosted Glass,moderate,3.47,0.52,84.9,32,6,A1,18,156,2,No,Low,Medium
Spectrally Selective Glass,cold,3.39,0.52,76.3,34,6,A1,17,87,3,Yes,Low,Medium
Clear Float Glass,hot,2.85,0.65,62.2,27,8,C,32,178,1,Yes,Low,High
Tempered Low-E,dry,1.79,0.32,46.0,28,10,A2,24,258,2,Yes,Medium,Medium
Acoustic Laminated,cold,1.61,0.5,74.1,36,12,A2,22,295,1,No,High,Medium
Reflective Glass,hot,4.09,0.27,11.1,34,8,A2,15,178,1,Yes,Low,High
Laminated Clear,hot,2.03,0.33,77.3,40,10,A1,31,188,1,Yes,High,High
Tempered Low-E,coastal,1.5,0.25,41.9,27,6,C,22,288,2,Yes,Medium,High
Frosted Glass,coastal,3.28,0.53,81.9,35,6,C,26,92,2,Yes,Low,High
Tinted Glass,coastal,3.69,0.53,24.4,35,8,A1,16,106,2,No,Low,High
Laminated Clear,cold,1.74,0.48,75.2,38,10,C,19,211,2,Yes,High,Medium
DGU Clear,cold,1.25,0.4,49.8,32,26,A1,16,263,3,Yes,Low,Medium
Solar Control Glass,hot,3.81,0.56,60.8,27,6,C,30,176,2,Yes,Low,High
Laminated Low-E,coastal,1.09,0.2,59.1,41,10,A1,27,192,2,Yes,High,High
Spectrally Selective Glass,coastal,3.29,0.58,87.2,27,8,A2,24,134,1,No,Low,High
