location,building_type,floor_count,orientation,facade_area_sqm,budget_level,max_cost_per_sqm,required_u_value,required_shgc,required_vlt,acoustic_requirement,fire_rating_requirement,aesthetic_preference,thermal_insulation_required,wind_load_level,climate_zone,avg_temp_c,avg_humidity_pct,avg_rainfall_mm,solar_exposure,material_id,material_type,material_subtype,cost_per_sqm,installation_cost_per_sqm,material_u_value,material_shgc,material_vlt_percent,fire_rating,durability_years,maintenance_freq_per_year,acoustic_rating_rw,water_absorption_pct,material_density_kgm3,recommended_climates,surface_reflectivity_pct,material_lifespan_years,total_material_cost,total_installation_cost,total_cost_estimate,thermal_gap_u_value,thermal_gap_shgc,budget_fit_flag,aesthetic_match_flag,fire_safety_match_flag,climate_match_flag,suitability_score
Mumbai,Commercial,15,south,1200,medium,150,1.8,0.4,45,yes,A2,glass,required,high,coastal,28,75,2200,high,M1,glass,low-e,176,40,1.2,0.35,50,A1,25,1,35,0.5,2500,"coastal,hot",25,30,211200,48000,259200,0.6,0.05,0,1,0,1,51
Delhi,Residential,8,north,800,low,80,2.2,0.5,60,no,B,stone,required,avg,hot,26,55,600,medium,M2,stone,granite,92,25,2,0,0,A2,40,0.5,28,1.2,2600,"hot,moderate",15,50,73600,20000,93600,0.2,0.5,0,1,0,1,51
Chennai,Hospital,10,east,1500,high,250,1.5,0.3,40,yes,A1,metal,not required,high,hot,30,70,1200,high,M3,metal,aluminum,53,35,3.5,0,0,C,20,2,32,0.8,2700,"hot,coastal",40,25,79500,52500,132000,2,0.3,1,1,0,1,56
Bangalore,Industrial,5,west,600,medium,120,2,0.45,55,no,C,composite,required,low,moderate,24,60,900,medium,M4,composite,acp,43,30,1.8,0,0,A2,15,1.5,30,2,1800,moderate,30,20,25800,18000,43800,0.2,0.45,1,0,0,1,61
Kolkata,Commercial,20,south,2000,high,200,1.6,0.35,50,yes,A2,glass,required,high,hot,27,80,1600,high,M5,glass,igu,130,45,1.1,0.3,55,B,28,1,38,0.3,2400,"hot,coastal",20,35,260000,90000,350000,0.5,0.05,1,1,0,1,73
Hyderabad,Residential,12,north,900,low,70,2.5,0.55,65,no,B,terracotta,not required,avg,hot,29,65,700,high,M6,terracotta,baguette,101,28,2.8,0,0,A1,35,1,25,4,1900,hot,10,40,90900,25200,116100,0.3,0.55,0,1,0,1,49
Goa,Hospital,6,east,1100,medium,140,1.4,0.25,35,yes,A1,glass,required,high,coastal,26,85,3000,medium,M7,glass,laminated,123,38,1,0.25,40,B,22,1.2,36,0.2,2600,coastal,30,32,135300,41800,177100,0.4,0,1,1,0,1,75
Pune,Industrial,4,west,500,low,60,2.3,0.5,50,no,C,metal,required,low,moderate,25,58,800,low,M8,metal,galvanized,67,22,2.5,0,0,A1,30,0.8,29,1.5,7800,"moderate,hot",35,45,33500,11000,44500,0.2,0.5,0,1,0,1,51
Ahmedabad,Commercial,18,south,1600,high,220,1.7,0.4,48,yes,A2,composite,not required,high,hot,31,50,500,high,M9,composite,hpl,63,32,1.9,0,0,C,18,1.8,34,1.8,1400,hot,28,22,100800,51200,152000,0.2,0.4,1,0,0,1,62
Jaipur,Residential,7,north,700,medium,100,2.1,0.48,58,no,B,stone,required,avg,hot,28,45,400,high,M10,stone,sandstone,73,26,1.95,0,0,A2,45,0.4,27,3,2200,"hot,cold",12,55,51100,18200,69300,0.15,0.48,1,1,0,1,72
